iter	Passed	Remaining
0	3	1055
1	6	947
2	9	925
3	13	1016
4	15	920
5	18	890
6	19	822
7	21	768
8	23	754
9	25	727
10	27	716
11	29	706
12	30	680
13	32	662
14	33	643
15	35	627
16	36	611
17	38	605
18	40	595
19	43	602
20	44	594
21	46	583
22	47	575
23	49	565
24	50	557
25	52	549
26	54	547
27	55	543
28	58	542
29	59	538
30	61	532
31	62	526
32	64	520
33	65	513
34	67	507
35	68	504
36	70	501
37	72	501
38	74	499
39	76	494
40	77	489
41	78	485
42	80	480
43	81	476
44	84	480
45	86	477
46	88	476
47	90	475
48	91	471
49	93	467
50	94	463
51	96	459
52	98	458
53	100	456
54	102	455
55	104	457
56	106	454
57	107	450
58	109	447
59	111	444
60	112	440
61	114	438
62	116	437
63	118	438
64	121	437
65	122	434
66	123	430
67	125	427
68	126	424
69	128	420
70	129	417
71	130	414
72	132	412
73	136	416
74	137	413
75	139	410
76	140	407
77	142	404
78	143	401
79	144	398
80	146	396
81	149	396
82	151	396
83	153	394
84	154	391
85	156	388
86	157	386
87	159	383
88	160	380
89	161	377
90	163	376
91	166	375
92	167	373
93	169	371
94	170	368
95	172	366
96	173	363
97	175	361
98	176	359
99	178	357
100	181	356
101	183	355
102	184	353
103	186	351
104	187	348
105	189	346
106	190	344
107	192	342
108	194	340
109	197	341
110	199	339
111	200	337
112	202	334
113	203	332
114	204	329
115	206	327
116	208	326
117	212	327
118	215	327
119	217	325
120	218	323
121	219	320
122	221	318
123	224	318
124	226	317
125	228	316
126	230	314
127	232	311
128	233	309
129	234	307
130	236	304
131	237	302
132	239	301
133	241	299
134	243	298
135	245	296
136	247	294
137	249	292
138	251	290
139	252	288
140	254	286
141	256	285
142	258	283
143	260	282
144	261	279
145	263	277
146	264	275
147	266	273
148	267	271
149	269	269
150	271	267
151	273	265
152	275	264
153	276	262
154	278	260
155	279	258
156	281	256
157	282	253
158	284	251
159	285	250
160	287	248
161	290	247
162	292	245
163	294	243
164	295	241
165	297	239
166	298	237
167	301	236
168	303	234
169	305	233
170	307	231
171	308	229
172	310	227
173	311	225
174	313	223
175	314	221
176	316	219
177	318	218
178	320	216
179	322	215
180	324	213
181	325	211
182	327	209
183	329	207
184	331	206
185	333	204
186	336	203
187	337	201
188	339	199
189	341	197
190	342	195
191	344	193
192	346	192
193	350	191
194	352	189
195	353	187
196	355	185
197	357	184
198	360	182
199	364	182
200	368	181
201	370	179
202	372	177
203	373	175
204	377	174
205	380	173
206	383	172
207	386	170
208	389	169
209	392	168
210	396	167
211	398	165
212	400	163
213	402	161
214	405	160
215	407	158
216	411	157
217	415	156
218	418	154
219	421	153
220	425	152
221	428	150
222	431	148
223	432	146
224	435	145
225	437	143
226	439	141
227	443	139
228	445	138
229	447	136
230	450	134
231	455	133
232	460	132
233	463	130
234	465	128
235	467	126
236	469	124
237	471	122
238	473	120
239	475	118
240	477	116
241	480	115
242	483	113
243	485	111
244	487	109
245	490	107
246	492	105
247	493	103
248	495	101
249	496	99
250	497	97
251	499	95
252	501	93
253	504	91
254	506	89
255	508	87
256	512	85
257	514	83
258	517	81
259	519	79
260	523	78
261	527	76
262	532	74
263	540	73
264	549	72
265	552	70
266	554	68
267	557	66
268	559	64
269	562	62
270	564	60
271	566	58
272	569	56
273	572	54
274	580	52
275	582	50
276	584	48
277	586	46
278	589	44
279	591	42
280	595	40
281	598	38
282	601	36
283	604	34
284	606	31
285	609	29
286	613	27
287	616	25
288	619	23
289	621	21
290	625	19
291	628	17
292	631	15
293	633	12
294	636	10
295	639	8
296	642	6
297	645	4
298	647	2
299	649	0
